# IPBES Oceania
# Australia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
158.87880904 -54.7097352
158.84521935 -54.74926767
158.8359176 -54.70399912
158.89699914 -54.50607838
158.95890751 -54.47238535
158.94557499 -54.57501474
158.87880904 -54.7097352

147.35599816 -43.39698903
147.30886926 -43.5007553
147.23145796 -43.48313364
147.15383996 -43.50018686
147.10495405 -43.43114715
147.104644 -43.41290537
147.16314172 -43.43026865
147.18463911 -43.4077894
147.1984884 -43.37921233
147.21967573 -43.37135752
147.23404178 -43.33042978
147.28385786 -43.27896006
147.31248661 -43.28030364
147.34245894 -43.34624277
147.35599816 -43.39698903

147.43454634 -43.2407195
147.3719145 -43.24082285
147.34886682 -43.23245127
147.33760135 -43.18330698
147.2960535 -43.16175791
147.31910119 -43.1453248
147.32736942 -43.114629
147.35258752 -43.08031585
147.39723596 -43.11824635
147.43454634 -43.2407195

148.1042729 -42.71041595
148.0481523 -42.71920094
148.02965213 -42.71486012
148.03089237 -42.66333872
148.02272749 -42.64044606
148.07254357 -42.59311045
148.14282352 -42.61595143
148.16948856 -42.65171152
148.1005522 -42.68059865
148.1042729 -42.71041595

145.04296105 -40.78670908
145.15871626 -40.79063649
145.22434533 -40.76516001
145.28304976 -40.76991424
145.3494023 -40.82639658
145.42939741 -40.85822926
145.48510461 -40.85238983
145.53347375 -40.86396535
145.57646854 -40.90406626
145.68602258 -40.93910288
145.7337716 -40.96204721
145.7754228 -40.99713551
145.82151818 -41.02462737
146.11111291 -41.11805836
146.31750858 -41.16348195
146.5744438 -41.14239796
146.65061486 -41.11619801
146.72347863 -41.07800913
146.78600711 -41.11366587
146.84812219 -41.16808115
146.8360299 -41.10937672
146.85659712 -41.05832041
146.91943566 -41.01775441
146.98981896 -40.99238128
147.10578088 -40.99424163
147.21884891 -40.98344126
147.26897505 -40.95972178
147.32054813 -40.95646616
147.38772749 -40.98550831
147.4548035 -41.00168304
147.50079553 -40.96416595
147.5793437 -40.87554087
147.62171838 -40.84469004
147.81767541 -40.87171681
147.87296919 -40.87259531
147.9687773 -40.77962941
148.03285607 -40.78092132
148.21527388 -40.85492197
148.29289188 -40.94711273
148.28545047 -41.11531951
148.29154829 -41.17459238
148.3062244 -41.23314178
148.31221887 -41.34967213
148.28989465 -41.46506561
148.28689741 -41.5549826
148.29661258 -41.6461915
148.28762088 -41.8156902
148.31573286 -41.9277247
148.30167687 -42.00420582
148.30147017 -42.03996592
148.32803185 -42.0737623
148.34084761 -42.11112436
148.33102909 -42.15918344
148.34260461 -42.21535573
148.33123579 -42.26160613
148.29030806 -42.25493987
148.27697554 -42.21943817
148.28462365 -42.17339446
148.27718225 -42.13639414
148.2557882 -42.10264943
148.18313114 -42.0647706
148.20442183 -42.04203297
148.24162886 -42.02182749
148.21372359 -41.96999603
