# IPBES South_America
# Argentina
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-64.54918108 -54.71619476
-64.43882606 -54.73939747
-64.22051897 -54.72198252
-64.1053322 -54.72167246
-64.05494768 -54.72988901
-64.03241675 -54.74234303
-63.88193498 -54.72291269
-63.81540158 -54.7250831
-63.83258399 -54.76792287
-63.97123186 -54.81065928
-64.02833432 -54.7926242
-64.32288998 -54.79644826
-64.45326962 -54.84032155
-64.50871843 -54.83990814
-64.63734107 -54.90253997
-64.73146969 -54.86295582
-64.75733375 -54.82657562
-64.68922421 -54.77469248
-64.62506792 -54.77360727
-64.58134966 -54.75272999
-64.54918108 -54.71619476

-68.27820411 -52.98394907
-68.24011858 -53.08187591
-68.33298113 -53.01965748
-68.43114051 -53.05531422
-68.47948381 -53.11381194
-68.52079912 -53.1772706
-68.5205149 -53.22191904
-68.48852719 -53.26093475
-68.39313249 -53.29488616
-68.16115699 -53.30641001
-68.14407793 -53.31901906
-68.00850481 -53.56401702
-67.94026608 -53.61874236
-67.86109779 -53.66220224
-67.67813738 -53.78710418
-67.50259254 -53.92197967
-67.29423316 -54.04982716
-67.06946652 -54.14806406
-66.86511207 -54.2225298
-66.67008521 -54.31358367
-66.46198422 -54.44101775
-66.23566728 -54.53346689
-65.99260718 -54.59888926
-65.74706662 -54.65345957
-65.36928606 -54.63216888
-65.25198056 -54.63811167
-65.1789876 -54.67810923
-65.25234229 -54.78885182
-65.34600583 -54.87789031
-65.47114031 -54.91463226
-65.60330278 -54.92817148
-65.72275286 -54.92636281
-65.84199622 -54.90998138
-65.95377235 -54.91928314
-66.06063921 -54.95674855
-66.17202776 -54.97530039
-66.28674944 -54.97778086
-66.39868059 -55.00940683
-66.51112851 -55.03214446
-66.6276847 -55.01323089
-66.93048275 -54.92491587
-67.12711158 -54.90378021
-67.79327247 -54.86869191
-68.00710954 -54.84843475
-68.22009396 -54.81758392
-68.33168922 -54.81634368
-68.49100766 -54.83623911
-68.61864844 -54.83381032
-68.65324582 -54.85365407
-68.64750973 -54.62782806
-68.63980994 -54.32397064
-68.63823381 -54.05297942
-68.63668352 -53.78891286
-68.63505571 -53.51544118
-68.63345374 -53.24186614
-68.63169674 -52.94953257
-68.62993974 -52.65265146
-68.57118364 -52.69497446
-68.33879473 -52.90007822
-68.27820411 -52.98394907

-61.87575253 -39.17182057
-61.86595985 -39.23486582
-61.91802385 -39.22742441
-62.0415822 -39.16685963
-62.08328508 -39.11017059
-62.09302609 -39.0862444
-61.96665137 -39.11218597
-61.90712012 -39.13564707
-61.87575253 -39.17182057

-65.77104448 -22.09958099
-65.68616594 -22.11022633
-65.51881182 -22.0945167
-65.48488624 -22.09813405
-65.0578322 -22.10278493
-64.99261654 -22.10965789
-64.84303911 -22.14391937
-64.7586515 -22.17130788
-64.7001021 -22.18551889
-64.60553423 -22.22882374
-64.52365292 -22.37160573
-64.47776425 -22.48534555
-64.44549232 -22.58533945
-64.37397213 -22.76103932
-64.32529293 -22.82759857
-64.30792965 -22.7953008
-64.2663818 -22.60332285
-64.20909848 -22.49128834
-64.13184221 -22.36581797
-63.97614112 -22.07255421
-63.9217 -22.02857757
-63.86100603 -22.00718353
-63.81865719 -22.00542653
-63.77555905 -22.02723398
-63.71695797 -22.02749236
-63.67535845 -22.00428965
-63.26716631 -22.00056894
-62.84334205 -21.99731333
-62.83429867 -21.999122
-62.81510088 -22.0495582
-62.74456255 -22.15983571
-62.66526506 -22.21802337
-62.65100237 -22.23373301
-62.62570675 -22.26153493
-62.62596514 -22.29047373
-62.54155168 -22.34964324
-62.37249223 -22.43914682
-62.21418148 -22.6124179
-62.06659359 -22.86945648
-61.92802324 -23.05931569
-61.7985221 -23.18199554
-61.67951128 -23.26870859
-61.57101661 -23.31940317
-61.51303565 -23.36048594
-61.50551673 -23.39200856
-61.40397254 -23.4574826
-61.20837724 -23.55706308
-61.08471554 -23.65648854
-61.03293576 -23.75570729
-60.83982093 -23.85812998
-60.50534522 -23.96360158
-60.26218177 -24.0139861
-60.11030473 -24.00923187
-59.89246273 -24.0935678
-59.60857825 -24.26683888
-59.43541053 -24.38698659
-59.37293372 -24.45395924
-59.1872603 -24.56227304
-58.72400692 -24.78665211
-58.51965247 -24.84287607
-58.42281084 -24.89413909
-58.36539832 -24.9592514
-58.30870928 -24.97914682
-58.25279538 -24.9537737
-58.13647173 -24.97713144
-57.95981584 -25.04916839
-57.8216589 -25.13639821
-57.64389197 -25.32842783
-57.58715125 -25.40511566
-57.56312171 -25.47374196
-57.5717 -25.53415171
-57.62583106 -25.59869557
-57.72546322 -25.66721852
-57.75481544 -25.6970875
-57.75706336 -25.7260263
-57.78248817 -25.7836972
-57.86522213 -25.90694549
-57.88620277 -25.96425465
-57.89064694 -26.00657765
-57.94309852 -26.05298309
-58.08239234 -26.13855926
-58.11112444 -26.18021046
-58.11807492 -26.22491058
-58.13561907 -26.25147226
-58.15471351 -26.2625827
-58.1814819 -26.30738616
-58.20303097 -26.38149017
-58.20520138 -26.4765748
-58.18794145 -26.59253672
-58.19130042 -26.63000213
-58.2220479 -26.64994923
-58.2393595 -26.67687265
-58.24556068 -26.73102955
-58.27168311 -26.77071705
-58.31770098 -26.79593515
-58.33465084 -26.82492563
-58.32255856 -26.85763681
-58.35643246 -26.88998626
-58.43629839 -26.92197397
-58.48523597 -26.96843108
-58.50324521 -27.02951263
-58.54771278 -27.08403126
-58.61861284 -27.13209035
-58.64176388 -27.19611745
-58.60484107 -27.31435312
-58.16825273 -27.27342539
-57.81222795 -27.31662689
-57.39127174 -27.43041839
-57.11183143 -27.47010589
-56.97395871 -27.43579274
-56.87174272 -27.44065032
-56.80518348 -27.48467864
-56.71570574 -27.4937737
-56.60336117 -27.46783213
-56.51052446 -27.48788258
-56.43714393 -27.55382171
-56.37048133 -27.5373886
-56.31053667 -27.43878997
-56.2417295 -27.3668047
-56.16408566 -27.32148447
-56.06734738 -27.30773854
-55.95148882 -27.32572194
-55.85903968 -27.36194712
-55.78999997 -27.4163624
-55.71462989 -27.41481211
-55.63292945 -27.35714121
-55.59381039 -27.2881015
-55.59724687 -27.20758961
-55.56489743 -27.15002207
-55.49671037 -27.11529551
-55.45064084 -27.0683733
-55.42666297 -27.00925547
-55.34578935 -26.97318532
-55.20799415 -26.96016286
-55.13593136 -26.9311207
-55.12962684 -26.88605885
-55.08885413 -26.844511
-55.01361325 -26.80668385
-54.96214352 -26.75934824
-54.93447079 -26.70250416
-54.88891802 -26.66679575
-54.82551103 -26.652223
-54.75510189 -26.53290211
-54.67771644 -26.3088331
-54.63193112 -26.0058025
-54.61588559 -25.57606129
-54.53782834 -25.5764747
-54.5014998 -25.60830739
-54.44393226 -25.6249472
-54.38336748 -25.58861867
-54.33187191 -25.57192718
-54.25009396 -25.57042856
-54.20616899 -25.5295525
-54.15457008 -25.52309295
-54.1192234 -25.54521046
-54.0850136 -25.57192718
-54.01230486 -25.57797332
-53.95476315 -25.64768483
-53.89114946 -25.66887217
-53.8642002 -25.74886728
-53.82324663 -25.9595521
-53.74692054 -26.08373056
-53.67126624 -26.22511728
-53.66852739 -26.28821421
-53.7109279 -26.35182789
-53.71813677 -26.44319183
-53.74456926 -26.66648569
-53.75332842 -26.74859954
-53.72712847 -26.80472015
-53.71730994 -26.88285491
-53.7585219 -26.97835296
-53.83815528 -27.12113494
-53.91561825 -27.15958221
-53.93533281 -27.16118418
-54.04013262 -27.24376312
-54.11382321 -27.27466562
-54.15645626 -27.25378834
-54.20523882 -27.28960011
-54.26014503 -27.38204925
-54.32701433 -27.42349375
-54.44811805 -27.44643808
-54.48434323 -27.45729013
-54.55493323 -27.45413787
-54.6154205 -27.47718556
-54.6658567 -27.52653655
-54.71972938 -27.54493336
-54.77709022 -27.53253102
-54.82907671 -27.55061777
-54.87574053 -27.59924529
-54.9027673 -27.65190358
-54.91020871 -27.70854095
-54.95589067 -27.74714324
-55.03991655 -27.76781382
-55.06901038 -27.79628753
-55.06386858 -27.83592335
-55.10151486 -27.86677418
-55.2437284 -27.89886525
-55.34651282 -27.95591603
-55.40981645 -28.03782317
-55.47668576 -28.08934458
-55.5823899 -28.12097055
-55.72550778 -28.20411793
-55.74599748 -28.25548431
-55.69153052 -28.30281992
-55.67197099 -28.34488454
-55.68726722 -28.38167816
-55.73196733 -28.38663909
-55.8060455 -28.35976735
-55.85888465 -28.35418629
-55.89051063 -28.36999928
-55.90541928 -28.39966155
-55.90366228 -28.44327646
-55.93014645 -28.47288706
-55.98492347 -28.48859669
-56.01962419 -28.52461517
-56.03422279 -28.58083913
-56.10287493 -28.65173919
-56.22555478 -28.73721201
