# IPBES West_Africa
# Benin
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
3.59541914 11.69628897
3.55392297 11.63190013
3.49056766 11.49919505
3.48782881 11.39542878
3.63887902 11.17683747
3.6562423 11.15459077
3.69536136 11.12032929
3.71639367 11.07960826
3.73417036 10.97191458
3.74486738 10.85044912
3.75680464 10.76872285
3.82972009 10.65376862
3.83447432 10.6074407
3.78383141 10.43590078
3.77179081 10.41760733
3.75845829 10.41269807
3.68022017 10.42778758
3.64657881 10.4090032
3.60415246 10.35068635
3.57790083 10.29249868
3.57655724 10.26833995
3.64590702 10.1601295
3.6020854 10.0045576
3.55723026 9.90730256
3.47671838 9.85190542
3.40478478 9.83862458
3.35445194 9.8128122
3.32520308 9.77847321
3.3295439 9.66703299
3.22340051 9.56564383
3.16469608 9.49466625
3.13617069 9.45161978
3.14805627 9.32059418
3.11043583 9.18827668
3.04496179 9.08383861
2.89809736 9.06135936
2.77484907 9.04854361
2.73288781 8.78253917
2.73464481 8.61402233
2.72358605 8.44191397
2.70307051 8.37184073
2.71149377 8.27300955
2.70234704 8.04981904
2.68601729 7.87375743
2.70772139 7.82660269
2.72043379 7.72309479
2.71934859 7.61625377
2.75102624 7.54191722
2.78513268 7.47685659
2.78394413 7.4433961
2.7658057 7.42251883
2.75050947 7.3950528
2.75061283 7.14323355
2.75676232 7.06791515
2.74771895 7.01983023
2.72141564 6.98027192
2.73175093 6.85283784
2.75293827 6.77162832
2.77464237 6.71173534
2.75366174 6.66176423
2.73567834 6.59572175
2.70803145 6.42766999
2.70648115 6.36924978
2.2869202 6.3280895
1.81811161 6.26065176
1.62261966 6.21677847
1.61088911 6.25083324
1.77790734 6.29465485
1.7431291 6.42624889
1.63931115 6.5815624
1.59853845 6.61021699
1.57755781 6.68739574
1.60293094 6.73809032
1.59078698 6.77227428
1.58200199 6.87699657
1.53094567 6.99244172
1.62468672 6.9972993
1.62468672 7.36918875
1.62458337 7.72588532
1.62458337 8.03020783
1.62458337 8.27099417
1.60659997 8.55927115
1.60380944 8.77101533
1.60019209 9.05004222
1.56629235 9.1372462
1.42428552 9.28501496
1.3857349 9.36165111
1.37891361 9.46298859
1.34708093 9.56753002
1.34506555 9.7502062
1.34284346 9.96295808
1.3300277 9.99698701
1.17618696 10.098402
0.95831913 10.24203665
0.7921794 10.35153901
0.77998376 10.35957469
0.76334395 10.38665314
0.78747684 10.7102768
0.82184167 10.7525998
0.87475833 10.88574413
0.9004932 10.99325694
0.92462609 10.99281769
0.95800907 11.02780264
0.98503584 11.07901398
1.01381961 11.06811026
1.06229211 11.05818838
1.08456465 11.07637849
1.08151574 11.11601431
1.09753543 11.1563736
1.13556929 11.174357
1.14549116 11.21040131
1.14580122 11.25192333
1.17866743 11.2627237
1.23468469 11.26101838
