# IPBES Western_Asia
# Bahrain
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
50.60727827 25.88312328
50.57492883 25.80679719
50.54402632 25.8335139
50.46589155 25.96554719
50.48945601 26.05846141
50.45245568 26.19080476
50.46992232 26.22894196
50.56407678 26.24643443
50.58588423 26.24072419
50.55777225 26.19829784
50.60975874 26.12445222
50.61751021 26.00234081
50.60727827 25.88312328


# Kuwait
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
48.27543094 29.62434195
48.21827681 29.60194021
48.17972619 29.61142284
48.14251916 29.66526968
48.08143762 29.79890493
48.11471724 29.84879853
48.113477 29.87021841
48.12009159 29.88631562
48.13890181 29.89657339
48.15853885 29.95956696
48.18479048 29.97884227
48.22768192 29.93631257
48.34819136 29.7826527
48.34736454 29.71996918
48.34023319 29.69469941
48.27543094 29.62434195

48.13611128 29.61811494
48.14344933 29.57245881
48.08949914 29.57909923
48.0483647 29.59752188
47.96960982 29.61671967
47.8174744 29.4873994
47.72528364 29.41696442
47.72269982 29.39303823
47.84527632 29.36572724
47.93529667 29.36660574
47.99813521 29.38554515
48.05146529 29.35536612
48.0862952 29.27547435
48.10035119 29.21074962
48.18375695 28.97939423
48.25290002 28.90128531
48.33919966 28.76325755
48.37123905 28.69184073
48.38963586 28.63158601
48.44244917 28.54290925
48.26871301 28.54050629
48.04960493 28.53750906
47.87194136 28.53546784
47.67133345 28.53316824
47.5830701 28.62796865
47.55320112 28.73155406
47.52126509 28.83782665
47.43320845 28.98954865
47.13875614 29.02618724
46.9822799 29.04566926
46.72482792 29.07460806
46.53145471 29.09626048
46.69377038 29.25966136
46.769373 29.34745962
46.90579878 29.53752554
46.97597538 29.67286612
47.0436715 29.82298615
47.10206587 29.93998159
47.11436486 29.96132396
47.1482646 30.00095978
47.22329878 30.04149995
47.3313542 30.07968883
47.51485721 30.09650951
47.64373823 30.09731049
47.67278039 30.09560517
47.75386071 30.07661408
47.97870487 29.98282136
47.97364058 29.94592438
48.00567997 29.83580191
48.0773035 29.71557669
48.13611128 29.61811494


# Oman
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
58.72202844 20.21876618
58.65908654 20.20359915
58.64089644 20.21070466
58.6412065 20.33736359
58.78796756 20.49657868
58.88439579 20.68054678
58.95074833 20.51616405
58.83509647 20.42392162
58.77225793 20.26682526
58.72202844 20.21876618

56.38795902 24.97917329
56.48981327 24.71637279
56.6406051 24.47028962
56.774137 24.33458731
56.91252648 24.1502058
57.12305627 23.9807071
57.21979455 23.92277782
57.6112952 23.80366364
57.82513228 23.7591444
58.12041141 23.71653718
58.32453332 23.62382966
58.39315962 23.61814525
58.50002648 23.64563711
58.5780579 23.6434667
58.77308475 23.5171695
58.83034224 23.39743521
58.91147424 23.33418325
58.98340783 23.23470612
59.02991662 23.13057811
59.19476444 22.97187979
59.31093306 22.79333771
59.42937544 22.66083934
59.53520877 22.57851879
59.69561242 22.5461435
59.82325321 22.50896231
59.8375159 22.42054393
59.82439009 22.30515046
59.79999881 22.21993602
59.68083296 22.05379629
59.65251428 21.9513736
59.51763879 21.78233999
59.37149784 21.49884309
59.30452518 21.43533275
59.0687773 21.28908845
58.89566125 21.11276846
58.69040246 20.80710236
58.53413293 20.50391673
58.47418827 20.40686839
58.34871789 20.38692129
58.2660356 20.3954479
58.20898482 20.42397329
58.23161909 20.50686229
58.24505497 20.59920808
58.16940067 20.58951874
58.10294478 20.57037263
57.94719201 20.34361644
57.86182254 20.24411347
57.84363244 20.11773876
57.80218794 19.95459626
57.74120975 19.80447622
57.7141313 19.6784374
57.71516483 19.60691722
57.7608468 19.43225088
57.76394738 19.2532954
57.79030236 19.14596345
57.81159305 19.01710826
57.73841922 18.97734325
57.67578739 18.95786123
57.42794722 18.94380524
57.17659305 18.90256745
56.95717492 18.82784333
56.82602014 18.75353262
56.6550745 18.58734121
56.55079146 18.16594575
56.38346317 17.98799795
56.27029178 17.95079092
55.99764693 17.93518464
55.61389774 17.88609203
55.4791256 17.84325226
55.25536665 17.58564525
55.23821008 17.50471996
55.28141157 17.44622224
55.29557092 17.38157502
55.2752104 17.32090689
55.17371789 17.15760936
55.06416385 17.0389086
54.77188195 16.96462372
54.66460168 17.00888459
54.56651981 17.03126048
54.37697066 17.0336376
54.0681523 17.00552562
53.95436079 16.91783072
53.77535363 16.85571564
53.6098857 16.75995921
